PROGRAM_NAME,PROGRAM_URL,CATALOG_NAME,LAST_UPDATED,ID,TITLE,DESCRIPTION,LINK,IMPRESSION_URL,IMAGE_LINK,MOBILE_LINK,ADDITIONAL_IMAGE_LINK,AVAILABILITY,AVAILABILITY_DATE,EXPIRATION_DATE,PRICE,SALE_PRICE,SALE_PRICE_EFFECTIVE_DATE,UNIT_PRICING_MEASURE,UNIT_PRICING_BASE_MEASURE,INSTALLMENT,LOYALTY_POINTS,GOOGLE_PRODUCT_CATEGORY,GOOGLE_PRODUCT_CATEGORY_NAME,PRODUCT_TYPE,BRAND,GTIN,MPN,IDENTIFIER_EXISTS,CONDITION,ADULT,MULTIPACK,IS_BUNDLE,ENERGY_EFFICIENCY_CLASS,AGE_GROUP,COLOR,GENDER,MATERIAL,PATTERN,SIZE,SIZE_TYPE,SIZE_SYSTEM,ITEM_GROUP_ID,CUSTOM_LABEL_0,CUSTOM_LABEL_1,CUSTOM_LABEL_2,CUSTOM_LABEL_3,CUSTOM_LABEL_4,PROMOTION_ID,SHIPPING_LABEL,SHIPPING_WEIGHT,SHIPPING_LENGTH,SHIPPING_WIDTH,SHIPPING_HEIGHT,MINHANDLINGTIME,MAXHANDLINGTIME,PRODUCT_LENGTH,PRODUCT_WIDTH,PRODUCT_HEIGHT,PRODUCT_WEIGHT,PRODUCT_HIGHLIGHT,ADS_REDIRECT,SHOPPING_ADS_EXCLUDED_COUNTRY,SHIPS_FROM_COUNTRY,TRANSIT_TIME_LABEL,COST_OF_GOODS_SOLD,SHIPPING(COUNTRY:REGION:SERVICE:PRICE),SHIPPING(MIN_HANDLING_TIME),SHIPPING(MAX_HANDLING_TIME),SHIPPING(PRICE),SHIPPING(COUNTRY),SHIPPING(MIN_TRANSIT_TIME),SHIPPING(MAX_TRANSIT_TIME),SHIPPING(COUNTRY:POSTAL_CODE:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_ID:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_GROUP_NAME:SERVICE:PRICE),TAX(RATE:COUNTRY:TAX_SHIP:REGION),TAX(RATE:COUNTRY:TAX_SHIP:POSTAL_CODE),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_ID),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_GROUP_NAME),SUBSCRIPTION_COST(PERIOD),SUBSCRIPTION_COST(PERIOD_LENGTH),SUBSCRIPTION_COST(AMOUNT),PRODUCT_DETAIL(SECTION_NAME),PRODUCT_DETAIL(ATTRIBUTE_NAME),PRODUCT_DETAIL(ATTRIBUTE_VALUE),CERTIFICATION(CERTIFICATION_AUTHORITY:CERTIFICATION_NAME:CERTIFICATION_CODE:CERTIFICATION_VALUE),currency_parse,category_added,price_clean,sale_clean
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:49.974-07:00,9040260763,"Womens Plus Size Acid Wash Graphic T-Shirt Dress, Green, Size 1X","This short classic-fit dress features a crew neckline and 3/4 sleeves, blending casual style with a trendy acid wash and graphic print. Its timeless silhouette makes it an easy go-to for everyday wear with a bit of edge. Classic crew neck frames the face with simple style 3/4 sleeves offer coverage while keeping it breezy Eye-catching acid wash and graphic print add personality Short length keeps it fresh and versatile for layering Model Pictured Wearing Size 1XHeight 5 ft 6 in, Bust 42 in, Waist 35 in, Hips 49 inFits True To SizeMeasurementsFull Length: 32 inContent and Care Material: 95% Cotton,, 5% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1930056578212 OLIVE - 1930056578212032",https://www.anrdoezrs.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Folive-plus-size-acid-wash-graphic-t-shirt-dress-1930056578212,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_001_756be805-059d-47b7-8a06-1e48d62cb0b1.jpg?v=1774518701,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_002.jpg?v=1774518701,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_003.jpg?v=1774518701",in stock,,,17.97 USD,17.97 USD,,,,,,2271,Apparel & Accessories > Clothing > Dresses,,Rainbow Shops,,,no,new,,,,,adult,green,female,,acid wash,1X,regular,US,1930056578212,womens,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Dresses,17.97,17.97
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:49.988-07:00,9040260771,"Womens Plus Size Acid Wash Graphic T-Shirt Dress, Green, Size 2X","This short classic-fit dress features a crew neckline and 3/4 sleeves, blending casual style with a trendy acid wash and graphic print. Its timeless silhouette makes it an easy go-to for everyday wear with a bit of edge. Classic crew neck frames the face with simple style 3/4 sleeves offer coverage while keeping it breezy Eye-catching acid wash and graphic print add personality Short length keeps it fresh and versatile for layering Model Pictured Wearing Size 1XHeight 5 ft 6 in, Bust 42 in, Waist 35 in, Hips 49 inFits True To SizeMeasurementsFull Length: 32 inContent and Care Material: 95% Cotton,, 5% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1930056578212 OLIVE - 1930056578212032",https://www.anrdoezrs.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Folive-plus-size-acid-wash-graphic-t-shirt-dress-1930056578212,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_001_756be805-059d-47b7-8a06-1e48d62cb0b1.jpg?v=1774518701,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_002.jpg?v=1774518701,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_003.jpg?v=1774518701",in stock,,,17.97 USD,17.97 USD,,,,,,2271,Apparel & Accessories > Clothing > Dresses,,Rainbow Shops,,,no,new,,,,,adult,green,female,,acid wash,2X,regular,US,1930056578212,womens,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Dresses,17.97,17.97
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:50.002-07:00,9040260789,"Womens Plus Size Acid Wash Graphic T-Shirt Dress, Green, Size 3X","This short classic-fit dress features a crew neckline and 3/4 sleeves, blending casual style with a trendy acid wash and graphic print. Its timeless silhouette makes it an easy go-to for everyday wear with a bit of edge. Classic crew neck frames the face with simple style 3/4 sleeves offer coverage while keeping it breezy Eye-catching acid wash and graphic print add personality Short length keeps it fresh and versatile for layering Model Pictured Wearing Size 1XHeight 5 ft 6 in, Bust 42 in, Waist 35 in, Hips 49 inFits True To SizeMeasurementsFull Length: 32 inContent and Care Material: 95% Cotton,, 5% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1930056578212 OLIVE - 1930056578212032",https://www.anrdoezrs.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Folive-plus-size-acid-wash-graphic-t-shirt-dress-1930056578212,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_001_756be805-059d-47b7-8a06-1e48d62cb0b1.jpg?v=1774518701,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_002.jpg?v=1774518701,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212032_003.jpg?v=1774518701",in stock,,,17.97 USD,17.97 USD,,,,,,2271,Apparel & Accessories > Clothing > Dresses,,Rainbow Shops,,,no,new,,,,,adult,green,female,,acid wash,3X,regular,US,1930056578212,womens,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Dresses,17.97,17.97
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:50.015-07:00,9040260672,"Womens Plus Size Acid Wash Graphic T-Shirt Dress, Brown, Size 1X","This short classic-fit dress features a crew neckline and 3/4 sleeves, blending casual style with a trendy acid wash and graphic print. Its timeless silhouette makes it an easy go-to for everyday wear with a bit of edge. Classic crew neck frames the face with simple style 3/4 sleeves offer coverage while keeping it breezy Eye-catching acid wash and graphic print add personality Short length keeps it fresh and versatile for layering Model Pictured Wearing Size 1XHeight 5 ft 6 in, Bust 42 in, Waist 35 in, Hips 49 inFits True To SizeMeasurementsFull Length: 32 inContent and Care Material: 95% Cotton,, 5% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1930056578212 KHAKI - 1930056578212025",https://www.dpbolvw.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fkhaki-plus-size-acid-wash-graphic-t-shirt-dress-1930056578212,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_001_7f7396d7-8733-45ed-8814-ae27dd9ddf82.jpg?v=1774518702,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_002.jpg?v=1774518702,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_003_0aee276d-0e9e-4a8d-aae8-5a68674bec96.jpg?v=1774518702",in stock,,,17.97 USD,17.97 USD,,,,,,2271,Apparel & Accessories > Clothing > Dresses,,Rainbow Shops,,,no,new,,,,,adult,brown,female,,acid wash,1X,regular,US,1930056578212,womens,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Dresses,17.97,17.97
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:50.018-07:00,9040091101,"Womens Plus Size Side Fringe Strapless Denim Jumpsuit, Black, Size 1X","This strapless denim jumpsuit features a button-front design and wide-leg pants for a laid-back, festival-ready look. The side fringe adds playful movement, making it a standout piece for casual occasions. Crafted from denim, it balances style with durability for all-day wear. Strapless neckline perfect for warm days and layering Button front adds easy adjustability and a classic touch Wide-leg silhouette offers relaxed movement and modern vibes Side fringe detail brings fun, dynamic flair to your outfit Model Pictured Wearing Size 1XHeight 5 ft 10 in, Bust 38 in, Waist 33 in, Hips 47 inFits True To SizeMeasurementsFull Length: 56 inContent and Care Material: 63% Cotton, 35% Polyester, 2% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1877064726001 BLACK - 1877064726001001",https://www.dpbolvw.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblack-plus-size-side-fringe-strapless-denim-jumpsuit-1877064726001,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1877064726001001_001_95d74240-c096-4ad3-9729-b98dfca9233a.jpg?v=1774517048,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1877064726001001_002.jpg?v=1774517048,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1877064726001001_003.jpg?v=1774517048",in stock,,,39.99 USD,39.99 USD,,,,,,5250,Apparel & Accessories > Clothing > One-Pieces > Jumpsuits & Rompers,,Rainbow Shops,,,no,new,,,,,adult,black,female,,acid wash,1X,regular,US,1877064726001,womens,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Jumpsuits,39.99,39.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:50.028-07:00,9040260680,"Womens Plus Size Acid Wash Graphic T-Shirt Dress, Brown, Size 2X","This short classic-fit dress features a crew neckline and 3/4 sleeves, blending casual style with a trendy acid wash and graphic print. Its timeless silhouette makes it an easy go-to for everyday wear with a bit of edge. Classic crew neck frames the face with simple style 3/4 sleeves offer coverage while keeping it breezy Eye-catching acid wash and graphic print add personality Short length keeps it fresh and versatile for layering Model Pictured Wearing Size 1XHeight 5 ft 6 in, Bust 42 in, Waist 35 in, Hips 49 inFits True To SizeMeasurementsFull Length: 32 inContent and Care Material: 95% Cotton,, 5% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1930056578212 KHAKI - 1930056578212025",https://www.jdoqocy.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fkhaki-plus-size-acid-wash-graphic-t-shirt-dress-1930056578212,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_001_7f7396d7-8733-45ed-8814-ae27dd9ddf82.jpg?v=1774518702,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_002.jpg?v=1774518702,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_003_0aee276d-0e9e-4a8d-aae8-5a68674bec96.jpg?v=1774518702",in stock,,,17.97 USD,17.97 USD,,,,,,2271,Apparel & Accessories > Clothing > Dresses,,Rainbow Shops,,,no,new,,,,,adult,brown,female,,acid wash,2X,regular,US,1930056578212,womens,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Dresses,17.97,17.97
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:50.033-07:00,9040091119,"Womens Plus Size Side Fringe Strapless Denim Jumpsuit, Black, Size 2X","This strapless denim jumpsuit features a button-front design and wide-leg pants for a laid-back, festival-ready look. The side fringe adds playful movement, making it a standout piece for casual occasions. Crafted from denim, it balances style with durability for all-day wear. Strapless neckline perfect for warm days and layering Button front adds easy adjustability and a classic touch Wide-leg silhouette offers relaxed movement and modern vibes Side fringe detail brings fun, dynamic flair to your outfit Model Pictured Wearing Size 1XHeight 5 ft 10 in, Bust 38 in, Waist 33 in, Hips 47 inFits True To SizeMeasurementsFull Length: 56 inContent and Care Material: 63% Cotton, 35% Polyester, 2% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1877064726001 BLACK - 1877064726001001",https://www.jdoqocy.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblack-plus-size-side-fringe-strapless-denim-jumpsuit-1877064726001,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1877064726001001_001_95d74240-c096-4ad3-9729-b98dfca9233a.jpg?v=1774517048,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1877064726001001_002.jpg?v=1774517048,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1877064726001001_003.jpg?v=1774517048",in stock,,,39.99 USD,39.99 USD,,,,,,5250,Apparel & Accessories > Clothing > One-Pieces > Jumpsuits & Rompers,,Rainbow Shops,,,no,new,,,,,adult,black,female,,acid wash,2X,regular,US,1877064726001,womens,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Jumpsuits,39.99,39.99
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:50.038-07:00,9040491863,"Womens Plus Size Hunter Camo Drawstring Hem Cargo Mini Skirt, Green, Size 1X","Step up your streetwear game with the Plus Size Hunter Camo Drawstring Hem Cargo Mini Skirt. This high-waisted mini skirt combines edgy hunter camo print with functional cargo pockets, making it the perfect mix of style and utility. The elastic waist and adjustable drawstring hem ensure a comfy fit that moves with you, while the zipper closure adds a sleek finish. Whether you're out for a casual day or hitting the streets, this skirt is your new go-to for effortless cool vibes. High-waisted design flatters your curves and defines your waist Elastic waist for all-day comfort and easy wear Hunters camo print adds a bold, trendy edge Drawstring hem lets you customize your fit and silhouette Functional cargo pockets for style and storage Zipper closure for a secure, sleek finish Mini length perfect for showing off your legs Ideal for casual outings and streetwear looks Model Pictured Wearing Size 1XHeight 5 ft 10 in, Bust 38 in, Waist 33 in, Hips 47 inFits True To SizeContent and Care Material: 74% Rayon, 22% Nylon, 4% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 3927056577818 GREEN - 3927056577818030",https://www.jdoqocy.com/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fgreen-plus-size-hunter-camo-drawstring-hem-cargo-mini-skirt-3927056577818,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/3927056577818030_001.jpg?v=1774386135,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/3927056577818030_002.jpg?v=1774386135,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/3927056577818030_003.jpg?v=1774386135,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/3927056577818030_005.jpg?v=1774386135",in stock,,,19.97 USD,9.98 USD,,,,,,1581,Apparel & Accessories > Clothing > Skirts,,Rainbow Shops,,,no,new,,,,,adult,green,female,,camouflage,1X,regular,US,3927056577818,womens,sale,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Skirts,19.97,9.98
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:50.043-07:00,9040296270,"Womens Plus Size Frayed Denim Heart Patch Tee, White, Size 1X","This classic fit tee features a crew neckline and short sleeves for a timeless look. The standout detail is a large frayed denim heart patch on the front, adding edge to a casual style. Crafted from ribbed knit fabric, it balances texture and everyday wearability. Crew neck frames the face with a clean, simple line Short sleeves keep it easygoing and versatile Frayed denim heart patch delivers a bold, unique accent Ribbed knit fabric adds subtle texture and durability Model Pictured Wearing Size 1XHeight 5 ft 10 in, Bust 38 in, Waist 33 in, Hips 47 inFits True To SizeContent and Care Material: 95% Polyester, 5% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1912066591407 BLACK/WHITE - 1912066591407015",https://www.anrdoezrs.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fblack-white-plus-size-frayed-denim-heart-patch-tee-1912066591407,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1912066591407015_001_cb39feae-f2cb-40f6-8d6e-f33bb45b509c.jpg?v=1774517026,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1912066591407015_002.jpg?v=1774517026,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1912066591407015_003.jpg?v=1774517026,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1912066591407015_005_f521e0fa-9531-4bd5-8f39-d24f8b39cdce.jpg?v=1774517026",in stock,,,10.99 USD,6.59 USD,,,,,,212,Apparel & Accessories > Clothing > Shirts & Tops,,Rainbow Shops,,,no,new,,,,,adult,white,female,,graphic,1X,regular,US,1912066591407,womens,sale,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Tops,10.99,6.59
Rainbow Shops,https://www.rainbowshops.com,Rainbow Shops Product Feed,2026-03-26T09:27:50.044-07:00,9040260698,"Womens Plus Size Acid Wash Graphic T-Shirt Dress, Brown, Size 3X","This short classic-fit dress features a crew neckline and 3/4 sleeves, blending casual style with a trendy acid wash and graphic print. Its timeless silhouette makes it an easy go-to for everyday wear with a bit of edge. Classic crew neck frames the face with simple style 3/4 sleeves offer coverage while keeping it breezy Eye-catching acid wash and graphic print add personality Short length keeps it fresh and versatile for layering Model Pictured Wearing Size 1XHeight 5 ft 6 in, Bust 42 in, Waist 35 in, Hips 49 inFits True To SizeMeasurementsFull Length: 32 inContent and Care Material: 95% Cotton,, 5% Spandex Care Instructions: Machine Wash, Tumble Dry Country Of Origin: China Rainbow Item Number 1930056578212 KHAKI - 1930056578212025",https://www.dpbolvw.net/click-101710011-14040981?url=https%3A%2F%2Fwww.rainbowshops.com%2Fproducts%2Fkhaki-plus-size-acid-wash-graphic-t-shirt-dress-1930056578212,https://www.awltovhc.com/image-101710011-14040981,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_001_7f7396d7-8733-45ed-8814-ae27dd9ddf82.jpg?v=1774518702,,"https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_002.jpg?v=1774518702,https://cdn.shopify.com/s/files/1/0268/0854/9559/files/1930056578212025_003_0aee276d-0e9e-4a8d-aae8-5a68674bec96.jpg?v=1774518702",in stock,,,17.97 USD,17.97 USD,,,,,,2271,Apparel & Accessories > Clothing > Dresses,,Rainbow Shops,,,no,new,,,,,adult,brown,female,,acid wash,3X,regular,US,1930056578212,womens,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus Size Dresses,17.97,17.97
